Company,Date,Price
AABS,2026-03-10,790
ABOT,2026-03-10,860
ACPL,2026-03-10,272
AGIC,2026-03-10,33
AGIL,2026-03-10,135
AABS,2026-03-11,781.86
ABOT,2026-03-11,870
ACPL,2026-03-11,266.61
AGIC,2026-03-11,32.05
AGIL,2026-03-11,133.24
AABS,2026-03-12,900.96
ABL,2026-03-12,170.78
ABOT,2026-03-12,852.1
ACPL,2026-03-12,267.0
AGIC,2026-03-12,33.0
AGIL,2026-03-12,133.96
APL,2026-03-12,544.87
BAFL,2026-03-12,115.2
BAHL,2026-03-12,153.42
CHCC,2026-03-12,249.52
COLG,2026-03-12,1112.72
DGKC,2026-03-12,166.27
EFERT,2026-03-12,207.79
EPCL,2026-03-12,32.43
FATIMA,2026-03-12,133.02
FFC,2026-03-12,504.79
HBL,2026-03-12,279.26
HMB,2026-03-12,113.98
HUBC,2026-03-12,199.59
ISL,2026-03-12,76.97
KAPCO,2026-03-12,27.62
KEL,2026-03-12,7.59
LPL,2026-03-12,18.81
LUCK,2026-03-12,366.5
MARI,2026-03-12,608.75
MCB,2026-03-12,361.33
MLCF,2026-03-12,77.67
NCL,2026-03-12,35.29
NCPL,2026-03-12,64.89
NESTLE,2026-03-12,7821.88
NPL,2026-03-12,69.7
OGDC,2026-03-12,274.81
PNSC,2026-03-12,446.05
POL,2026-03-12,623.58
PPL,2026-03-12,210.62
PSO,2026-03-12,359.91
SYS,2026-03-12,122.14
TGL,2026-03-12,134.78
TRG,2026-03-12,47.33
UBL,2026-03-12,365.22
UNITY,2026-03-12,8.84
AABS,2026-03-13,900.96
ABL,2026-03-13,170.78
ABOT,2026-03-13,852.1
ACPL,2026-03-13,267.0
AGIC,2026-03-13,33.0
AGIL,2026-03-13,133.96
APL,2026-03-13,544.87
BAFL,2026-03-13,115.2
BAHL,2026-03-13,153.42
CHCC,2026-03-13,249.52
COLG,2026-03-13,1112.72
DGKC,2026-03-13,166.27
EFERT,2026-03-13,207.79
EPCL,2026-03-13,32.43
FATIMA,2026-03-13,133.02
FFC,2026-03-13,504.79
HBL,2026-03-13,279.26
HMB,2026-03-13,113.98
HUBC,2026-03-13,199.59
ISL,2026-03-13,76.97
KAPCO,2026-03-13,27.62
KEL,2026-03-13,7.59
LPL,2026-03-13,18.81
LUCK,2026-03-13,366.5
MARI,2026-03-13,608.75
MCB,2026-03-13,361.33
MLCF,2026-03-13,77.67
NCL,2026-03-13,35.29
NCPL,2026-03-13,64.89
NESTLE,2026-03-13,7821.88
NPL,2026-03-13,69.7
OGDC,2026-03-13,274.81
PNSC,2026-03-13,446.05
POL,2026-03-13,623.58
PPL,2026-03-13,210.62
PSO,2026-03-13,359.91
SYS,2026-03-13,122.14
TGL,2026-03-13,134.78
TRG,2026-03-13,47.33
UBL,2026-03-13,365.22
UNITY,2026-03-13,8.84
AABS,2026-03-14,900.96
ABL,2026-03-14,170.78
ABOT,2026-03-14,852.1
ACPL,2026-03-14,267.0
AGIC,2026-03-14,33.0
AGIL,2026-03-14,133.96
APL,2026-03-14,544.87
BAFL,2026-03-14,115.2
BAHL,2026-03-14,153.42
CHCC,2026-03-14,249.52
COLG,2026-03-14,1112.72
DGKC,2026-03-14,166.27
EFERT,2026-03-14,207.79
ENGRO,2026-03-14,1880.4
EPCL,2026-03-14,32.43
FATIMA,2026-03-14,133.02
FFC,2026-03-14,504.79
HBL,2026-03-14,279.26
HMB,2026-03-14,113.98
HUBC,2026-03-14,199.59
INDM,2026-03-14,1880.4
ISL,2026-03-14,76.97
KAPCO,2026-03-14,27.62
KEL,2026-03-14,7.59
LPL,2026-03-14,18.81
LUCK,2026-03-14,366.5
MARI,2026-03-14,608.75
MCB,2026-03-14,361.33
MLCF,2026-03-14,77.67
NCL,2026-03-14,35.29
NCPL,2026-03-14,64.89
NESTLE,2026-03-14,7821.88
NPL,2026-03-14,69.7
OGDC,2026-03-14,274.81
PNSC,2026-03-14,446.05
POL,2026-03-14,623.58
PPL,2026-03-14,210.62
PSO,2026-03-14,359.91
SYS,2026-03-14,122.14
TGL,2026-03-14,134.78
TRG,2026-03-14,47.33
UBL,2026-03-14,365.22
UNITY,2026-03-14,8.84
AABS,2026-03-15,845.53
ABL,2026-03-15,170.91
ABOT,2026-03-15,846.12
ACPL,2026-03-15,265.64
AGIC,2026-03-15,32.47
AGIL,2026-03-15,135.36
APL,2026-03-15,536.01
BAFL,2026-03-15,113.71
BAHL,2026-03-15,153.34
CHCC,2026-03-15,243.71
COLG,2026-03-15,1115.95
DGKC,2026-03-15,166.32
EFERT,2026-03-15,207.63
EPCL,2026-03-15,33.19
FATIMA,2026-03-15,131.05
FFC,2026-03-15,501.02
HBL,2026-03-15,278.6
HMB,2026-03-15,114.0
HUBC,2026-03-15,197.98
ISL,2026-03-15,75.06
KAPCO,2026-03-15,27.38
KEL,2026-03-15,7.59
LPL,2026-03-15,18.49
LUCK,2026-03-15,358.85
MARI,2026-03-15,613.62
MCB,2026-03-15,363.1
MLCF,2026-03-15,78.99
NCL,2026-03-15,34.33
NCPL,2026-03-15,63.32
NESTLE,2026-03-15,7799.67
NPL,2026-03-15,68.19
OGDC,2026-03-15,273.09
PNSC,2026-03-15,437.33
POL,2026-03-15,621.56
PPL,2026-03-15,209.5
PSO,2026-03-15,359.22
SYS,2026-03-15,122.39
TGL,2026-03-15,137.93
TRG,2026-03-15,47.25
UBL,2026-03-15,371.37
UNITY,2026-03-15,8.85
