Company,Date,Price
AABS,2026-03-16,813.3
ABL,2026-03-16,166.01
ABOT,2026-03-16,888.17
ACPL,2026-03-16,264.85
AGIC,2026-03-16,32.69
AGIL,2026-03-16,129.73
APL,2026-03-16,520.46
BAFL,2026-03-16,106.37
BAHL,2026-03-16,150.01
CHCC,2026-03-16,231.5
COLG,2026-03-16,1107.18
DGKC,2026-03-16,155.09
EFERT,2026-03-16,204.12
EPCL,2026-03-16,31.86
FATIMA,2026-03-16,124.62
FFC,2026-03-16,480.94
HBL,2026-03-16,265.15
HMB,2026-03-16,106.86
HUBC,2026-03-16,188.38
ISL,2026-03-16,71.69
KAPCO,2026-03-16,26.81
KEL,2026-03-16,7.27
LPL,2026-03-16,17.53
LUCK,2026-03-16,342.91
MARI,2026-03-16,598.76
MCB,2026-03-16,346.76
MLCF,2026-03-16,78.63
NCL,2026-03-16,32.43
NCPL,2026-03-16,58.08
NESTLE,2026-03-16,7781.36
NPL,2026-03-16,62.83
OGDC,2026-03-16,261.86
PNSC,2026-03-16,420.83
POL,2026-03-16,614.21
PPL,2026-03-16,202.25
PSO,2026-03-16,345.84
SYS,2026-03-16,125.02
TGL,2026-03-16,135.04
TRG,2026-03-16,46.03
UBL,2026-03-16,358.45
UNITY,2026-03-16,8.56
AABS,2026-03-17,870.17
ABL,2026-03-17,170.01
ABOT,2026-03-17,906.68
ACPL,2026-03-17,264.97
AGIC,2026-03-17,35.0
AGIL,2026-03-17,131.52
APL,2026-03-17,516.77
BAFL,2026-03-17,107.08
BAHL,2026-03-17,150.1
CHCC,2026-03-17,231.79
COLG,2026-03-17,1109.69
DGKC,2026-03-17,150.22
EFERT,2026-03-17,203.42
EPCL,2026-03-17,30.99
FATIMA,2026-03-17,123.44
FFC,2026-03-17,481.36
HBL,2026-03-17,259.6
HMB,2026-03-17,105.64
HUBC,2026-03-17,192.52
ISL,2026-03-17,71.86
KAPCO,2026-03-17,26.9
KEL,2026-03-17,7.41
LPL,2026-03-17,17.57
LUCK,2026-03-17,346.79
MARI,2026-03-17,600.62
MCB,2026-03-17,362.27
MLCF,2026-03-17,79.78
NCL,2026-03-17,32.81
NCPL,2026-03-17,59.01
NESTLE,2026-03-17,7892.0
NPL,2026-03-17,64.05
OGDC,2026-03-17,262.64
PNSC,2026-03-17,433.59
POL,2026-03-17,618.71
PPL,2026-03-17,206.57
PSO,2026-03-17,353.39
SYS,2026-03-17,126.14
TGL,2026-03-17,136.08
TRG,2026-03-17,46.4
UBL,2026-03-17,364.83
UNITY,2026-03-17,8.43
AABS,2026-03-18,870.62
ABL,2026-03-18,170.07
ABOT,2026-03-18,924.53
ACPL,2026-03-18,269.24
AGIC,2026-03-18,35.03
